Ticker,Peso
AAPL,0,05381625954702436
AMGN,0,04083505848266634
AMZN,0,024874285811885957
AXP,0,05728952830800714
BA,0,05587769705277562
CAT,0,06009625918167244
CSCO,0,013638775973051496
CVX,0,07299000872424236
DIS,0,019180200846979682
GS,0,061404097732324275
HON,0,008593268114310096
IBM,0,03817983239202127
JNJ,0,07343082885643636
KO,0,05124040978565971
MCD,0,041349955007128535
MRK,0,05118879763076139
MSFT,0,013554720589819753
NKE,0,002164919608697425
NVDA,0,04593440643552824
PG,0,06751121892264242
TRV,0,05630667667926459
UNH,0,0041535873577078905
V,0,008308283476910839
VZ,0,012629289351362007
WMT,0,06545163413111975

RetornoAnualizado,0,2883508553939713
VolatilidadeAnualizada,0,08512641444089496
Sharpe,3,387325277210863
